timestamp,actual,predicted
2024-09-19 21:20:00,0.0,0.031078115
2024-09-19 21:25:00,0.0,0.031078115
2024-09-19 21:30:00,0.0,0.031078115
2024-09-19 21:35:00,0.0,0.031078115
2024-09-19 21:40:00,0.0,0.031078115
2024-09-19 21:45:00,0.0,0.031078115
2024-09-19 21:50:00,0.0,0.031078115
2024-09-19 21:55:00,0.0,0.031078115
2024-09-19 22:00:00,0.0,0.031078115
2024-09-19 22:05:00,0.0,0.031078115
2024-09-19 22:10:00,0.0,0.031078115
2024-09-19 22:15:00,0.0,0.031078115
2024-09-19 22:20:00,0.0,0.031078115
2024-09-19 22:25:00,0.0,0.031078115
2024-09-19 22:30:00,0.0,0.031078115
2024-09-19 22:35:00,0.0,0.031078115
2024-09-19 22:40:00,0.0,0.031078115
2024-09-19 22:45:00,0.0,0.031078115
2024-09-19 22:50:00,0.0,0.031078115
2024-09-19 22:55:00,0.0,0.031078115
2024-09-19 23:00:00,0.0,0.031078115
2024-09-19 23:05:00,0.0,0.031078115
2024-09-19 23:10:00,0.0,0.031078115
2024-09-19 23:15:00,0.0,0.031078115
2024-09-19 23:20:00,0.0,0.031078115
2024-09-19 23:25:00,0.0,0.031078115
2024-09-19 23:30:00,0.0,0.031078115
2024-09-19 23:35:00,0.0,0.031078115
2024-09-19 23:40:00,0.0,0.031078115
2024-09-19 23:45:00,0.0,0.031078115
2024-09-19 23:50:00,0.0,0.031078115
2024-09-19 23:55:00,0.0,0.031078115
2024-09-20 00:00:00,0.0,0.031078115
2024-09-20 00:05:00,0.0,0.031078115
2024-09-20 00:10:00,0.0,0.031078115
2024-09-20 00:15:00,0.0,0.031078115
2024-09-20 00:20:00,0.0,0.031078115
2024-09-20 00:25:00,0.0,0.031078115
2024-09-20 00:30:00,0.0,0.031078115
2024-09-20 00:35:00,0.0,0.031078115
2024-09-20 00:40:00,0.0,0.031078115
2024-09-20 00:45:00,0.0,0.031078115
2024-09-20 00:50:00,0.0,0.031078115
2024-09-20 00:55:00,0.0,0.031078115
2024-09-20 01:00:00,0.0,0.031078115
2024-09-20 01:05:00,0.0,0.031078115
2024-09-20 01:10:00,0.0,0.031078115
2024-09-20 01:15:00,0.0,0.031078115
2024-09-20 01:20:00,0.0,0.031078115
2024-09-20 01:25:00,0.0,0.031078115
2024-09-20 01:30:00,0.0,0.031078115
2024-09-20 01:35:00,0.0,0.031078115
2024-09-20 01:40:00,0.0,0.031078115
2024-09-20 01:45:00,0.0,0.031078115
2024-09-20 01:50:00,0.0,0.031078115
2024-09-20 01:55:00,0.0,0.031078115
2024-09-20 02:00:00,0.0,0.031078115
2024-09-20 02:05:00,0.0,0.031078115
2024-09-20 02:10:00,0.0,0.031078115
2024-09-20 02:15:00,0.0,0.031078115
2024-09-20 02:20:00,0.0,0.031078115
2024-09-20 02:25:00,0.0,0.031078115
2024-09-20 02:30:00,0.0,0.031078115
2024-09-20 02:35:00,0.0,0.031078115
2024-09-20 02:40:00,0.0,0.031078115
2024-09-20 02:45:00,0.0,0.031078115
2024-09-20 02:50:00,0.0,0.031078115
2024-09-20 02:55:00,0.0,0.031078115
2024-09-20 03:00:00,0.0,0.031078115
2024-09-20 03:05:00,0.0,0.031078115
2024-09-20 03:10:00,0.0,0.031078115
2024-09-20 03:15:00,0.0,0.031078115
2024-09-20 03:20:00,0.0,0.031078115
2024-09-20 03:25:00,0.0,0.031078115
2024-09-20 03:30:00,0.0,0.031078115
2024-09-20 03:35:00,0.0,0.031078115
2024-09-20 03:40:00,0.0,0.031078115
2024-09-20 03:45:00,0.0,0.031078115
2024-09-20 03:50:00,0.0,0.031078115
2024-09-20 03:55:00,0.0,0.031078115
2024-09-20 04:00:00,0.0,0.031078115
2024-09-20 04:05:00,0.0,0.031078115
2024-09-20 04:10:00,0.0,0.031078115
2024-09-20 04:15:00,0.0,0.031078115
2024-09-20 04:20:00,0.0,0.031078115
2024-09-20 04:25:00,0.0,0.031078115
2024-09-20 04:30:00,0.0,0.031078115
2024-09-20 04:35:00,0.0,0.031078115
2024-09-20 04:40:00,0.0,0.031078115
2024-09-20 04:45:00,0.0,0.031078115
2024-09-20 04:50:00,0.0,0.031078115
2024-09-20 04:55:00,0.0,0.031078115
2024-09-20 05:00:00,0.0,0.031078115
2024-09-20 05:05:00,0.0,0.031078115
2024-09-20 05:10:00,0.0,0.031078115
2024-09-20 05:15:00,0.0,0.031078115
2024-09-20 05:20:00,0.0,0.031078115
2024-09-20 05:25:00,0.0,0.031078115
2024-09-20 05:30:00,0.0,0.031078115
2024-09-20 05:35:00,0.0,0.031078115
2024-09-20 05:40:00,0.0,0.031078115
2024-09-20 05:45:00,0.0,0.031078115
2024-09-20 05:50:00,0.0,0.031078115
2024-09-20 05:55:00,0.0,0.031078115
2024-09-20 06:00:00,0.0,0.031078115
2024-09-20 06:05:00,0.0,0.031078115
2024-09-20 06:10:00,0.0,0.031078115
2024-09-20 06:15:00,0.0,0.031078115
2024-09-20 06:20:00,0.0,0.031078115
2024-09-20 06:25:00,0.0,0.031078115
2024-09-20 06:30:00,0.0,0.031078115
2024-09-20 06:35:00,0.0,0.031078115
2024-09-20 06:40:00,0.0,0.031078115
